feature,importance
payment_delay_days,0.08506280142222383
support_risk,0.07996680560646614
value_gap,0.05836831248595711
support_ticket_rate,0.05796319851745437
monthly_charges,0.05683323727680907
avg_charge_per_month,0.056715054445829326
delay_per_charge,0.055686046861972906
usage_per_login,0.052940661840944876
tenure_months,0.05095359308292258
total_charges,0.05079520980232626
engagement_score,0.050207824555679674
usage_hours,0.0482261221318116
age,0.04819930629393808
support_tickets,0.048156124808959935
contract_type_Monthly,0.04509290713262918
